Sample,Date,Estuary,Area,Station,Layer_depth,Season,Chlorophy_microg_L,Cond_microsiemens_cm,Depth_m,DO_percent_sat,DO_mg_L,Sal_psu,Sp_cond_microsiemens_cm,Turbidity_fnu,Temp_C,latitude,longitude,DIC_micromol_kg,TA_micromol_kg,TA-DIC,DO_micromol_kg,oxygen_utilization_micromol_kg,pH,saturation_aragonite,pCO2_atm,k_aragonite,total_calcium,carbonate
CDL05S,5/3/2020,Candelaria,Estuarine,CDL05,Surface,Dry,1.62,51497.0,0.442,100.6,6.71,32.62,49892.1,6.1,26.684,18.70429,-91.36858,2652,2828,176,205.3934488852622,-0.6802686479868782,7.786397317696557,2.4353251399407285,1086.0777562976932,5.954611334631929e-07,9585.218961191944,151.28934185559666
CDL05S,9/2/2021,Candelaria,Estuarine,CDL05,Surface,Dry,1.22,36624.7,0.105,118.7,8.37,22.22,35346.5,0.88,26.884,18.70848,-91.36728,2641,2880,239,258.1559596434218,-38.74274929780509,8.031365959097796,3.418875294322804,646.882565441375,3.904861248631549e-07,6529.232535796596,204.4686504502954
CDL06F,9/2/2021,Candelaria,Estuarine,CDL06,Bottom,Dry,150.9,38770.5,1.631,16.9,1.19,23.87,37695.9,577.81,26.493,18.73763,-91.41079,2641,2799,158,36.65514122994811,181.6580447493665,7.853965592990861,2.4079370801581446,965.0675663760222,4.211981441384154e-07,7014.076535979511,144.59759943623857
PLZ08S,10/2/2021,Palizada,Coast,PLZ08,Surface,Dry,2.73,37133.6,0.363,119.2,8.39,22.57,35851.5,5.9,26.872,18.64028,-91.86907,2638,2837,199,258.70626592334577,-39.78506112578495,7.954491398640496,2.9154506534581266,776.436536672643,3.9696678131773906e-07,6632.078232805095,174.50594238609665
CDL06F,5/3/2020,Candelaria,Estuarine,CDL06,Bottom,Dry,1.87,22443.9,1.199,92.4,6.64,12.39,20822.3,11.58,29.078,18.61005,-91.244,2636,2833,197,206.3942351344577,20.191605420097318,8.129220086478034,3.1450328353783483,635.6668094295106,2.123121912361219e-07,3640.7376741008025,183.40481313409865
PLZ08S,4/3/2020,Palizada,Coast,PLZ08,Surface,Dry,5.35,52626.9,0.719,101.5,6.81,33.99,51732.6,28.16,25.905,18.63975,-91.86967,2628,2715,87,208.1990816024544,-2.8265249310182696,7.5774640783162015,1.54852346375967,1703.4231420091742,6.254335043830529e-07,9987.786403768061,96.96827879631182
PLZ07S,4/3/2020,Palizada,Coast,PLZ07,Surface,Dry,5.16,49775.6,0.617,99.8,6.78,32.02,49044.1,60.99,25.781,18.59128,-91.82703,2627,2737,110,207.5695814480567,1.0870294539892598,7.6531197625375285,1.7772770709349186,1432.2585357154624,5.826264172522663e-07,9408.912052034519,110.05401757151151
PLZ04F,25/11/2020,Palizada,Estuarine,PLZ04,Bottom,Rainy,5.39,1938.3,1.19,8.5,0.67,0.94,1864.3,143.7,27.079,18.50268,-91.79163,2618,2473,-145,20.98976154993366,232.76749423249166,7.422788989882649,0.10525736255871003,4810.827036767667,2.1240730876559313e-08,276.214157679964,8.09423865041863
CDL06S,9/2/2021,Candelaria,Estuarine,CDL06,Surface,Dry,5.65,41652.2,0.118,119.0,8.27,25.8,40433.1,35.01,26.579,18.73767,-91.41089,2614,2803,189,254.3882106849905,-39.3092102943057,7.895700912785224,2.7124207380760113,854.3419112686553,4.577393093908811e-07,7581.197093769226,163.77118020646617
CDL04F,5/3/2020,Candelaria,Estuarine,CDL04,Bottom,Dry,4.83,51790.8,2.779,94.8,6.33,32.93,50319.5,14.24,26.531,18.67966,-91.34956,2613,2818,205,193.7092369548791,11.073439794696242,7.841216314353328,2.7183032310401494,931.0299647481071,6.021599217113086e-07,9676.310864256611,169.16087998341567
PLZ08F,10/2/2021,Palizada,Coast,PLZ08,Bottom,Dry,9.27,39340.8,5.185,111.6,7.89,24.53,38622.9,173.0,25.973,18.63984,-91.8689,2608,2857,249,242.88010905131975,-23.67680932359869,8.020817533158514,3.4599003381626985,619.6282878024873,4.3361013334000864e-07,7208.014136052679,208.1360855648167
PLZ09S,10/2/2021,Palizada,Coast,PLZ09,Surface,Dry,3.71,37034.5,0.384,122.2,8.62,22.57,35851.9,9.18,26.727,18.66676,-91.90047,2605,2804,199,265.78716149008056,-46.33758427508525,7.958172155776522,2.9020520121673723,755.6371311199001,3.9696678131773906e-07,6632.078232805095,173.7039591584392
PLZ03S,25/11/2020,Palizada,River,PLZ03,Surface,Rainy,2.71,366.3,0.295,65.2,5.18,0.17,351.8,18.81,27.151,18.48593,-91.79574,2590,2442,-148,162.37491267786623,92.44329284536897,7.490682699147553,0.028415961613052605,4804.845471495668,9.675708943949732e-09,49.95362426127009,5.503996516695479
PLZ03F,25/11/2020,Palizada,River,PLZ03,Bottom,Rainy,3.02,365.9,7.317,64.2,5.09,0.17,351.4,19.19,27.16,18.48594,-91.79573,2581,2430,-151,159.55409104593633,95.2248279102208,7.4806518558130985,0.027633653618541084,4894.418619555096,9.675708943949732e-09,49.95362426127009,5.352468282831431
CDL07F,9/2/2021,Candelaria,Coast,CDL07,Bottom,Dry,17.63,41081.4,0.768,98.5,6.96,26.0,40687.6,2422.93,25.507,18.76262,-91.45032,2566,2769,203,213.99465967646094,4.664695490445098,7.925218577191339,2.849691106726055,747.9772312777475,4.6157173421544846e-07,7639.966063488367,172.1652760207825
PLZ06F,10/2/2021,Palizada,Estuarine,PLZ06,Bottom,Dry,11.53,41510.2,2.869,115.3,8.05,25.88,40543.3,368.07,26.247,18.56189,-91.79906,2557,2788,231,247.58255035468477,-31.434321123834053,7.978653435923108,3.1795798501083614,673.9082141176688,4.5927115009625566e-07,7604.704681656882,192.02445797855566
CDL07S,9/2/2021,Candelaria,Coast,CDL07,Surface,Dry,4.8,42983.2,0.13,110.2,7.73,27.35,42581.9,45.49,25.493,18.76274,-91.45085,2554,2790,236,237.43568623548566,-20.788365239016116,7.969099933531276,3.1948982299855118,662.0014151441284,4.877030681358806e-07,8036.65660909257,193.88182734881875
PLZ09F,10/2/2021,Palizada,Coast,PLZ09,Bottom,Dry,17.81,43416.8,4.069,72.4,5.06,27.52,42833.8,890.51,25.713,18.66452,-91.90119,2542,2780,238,155.41432896465327,60.177852124330144,7.971827630222418,3.208076814845037,659.3628437692829,4.910285024169595e-07,8086.610233353839,194.79820451029775
PLZ06S,10/2/2021,Palizada,Estuarine,PLZ06,Surface,Dry,1.77,41401.4,0.147,119.0,8.24,25.48,40001.5,9.46,26.831,18.56194,-91.7989,2539,2791,252,253.5429314296929,-38.8801898509908,8.021817287087273,3.4369167138103958,617.6334417538905,4.51626658272189e-07,7487.1667422186,207.31516522337702
CDL03S,26/11/2020,Candelaria,River,CDL03,Surface,Rainy,6.87,13814.4,0.256,72.0,5.45,7.56,13182.4,9.64,27.51,18.62985,-91.29398,2528,2501,-27,169.927194524436,70.58549024930247,7.577285719539441,0.6538764515822869,2310.442327809681,1.2687099430159498e-07,2221.4670553835404,37.34377035284038
CDL08F,9/2/2021,Candelaria,Coast,CDL08,Bottom,Dry,8.24,56694.3,4.624,101.0,6.77,38.05,57137.9,41.75,24.594,18.7884,-91.51482,2521,2611,90,206.2883829217404,-2.3022509013978265,7.549081862161148,1.485600203178602,1641.6979875987258,7.207062033936632e-07,11180.796489066628,95.7607343305723
PLZ09S,4/3/2020,Palizada,Coast,PLZ09,Surface,Dry,3.46,55816.2,0.432,105.4,6.94,36.02,54478.1,35.62,26.286,18.66718,-91.90111,2501,2635,134,211.88747216778356,-10.6775994804822,7.673962488609442,1.8892583944885588,1298.6298621101357,6.717536761427736e-07,10584.291446417346,119.90564300937349
CDL05F,9/2/2021,Candelaria,Estuarine,CDL05,Bottom,Dry,1.82,41603.4,2.536,136.4,9.54,26.03,40751.2,1.43,26.095,18.70848,-91.36724,2475,2758,283,293.36353120140666,-76.8942351006699,8.072581081231817,3.76817208861566,513.4310483927911,4.621474149684456e-07,7648.781408946238,227.67691960357553
