Sample,Date,Estuary,Area,Station,Layer_depth,Season,Chlorophy_microg_L,Cond_microsiemens_cm,Depth_m,DO_percent_sat,DO_mg_L,Sal_psu,Sp_cond_microsiemens_cm,Turbidity_fnu,Temp_C,latitude,longitude,DIC_micromol_kg,TA_micromol_kg,TA-DIC,DO_micromol_kg,oxygen_utilization_micromol_kg,pH,saturation_aragonite,pCO2_atm,k_aragonite,total_calcium,carbonate
PLZ06S,25/11/2020,Palizada,Estuarine,PLZ06,Surface,Rainy,3.81,15860.1,0.431,97.2,7.33,8.8,15174.6,6.96,27.365,18.55977,-91.79816,2305,2357,52,228.32826390812752,10.696461947840618,7.860158957977127,1.2516372619686464,1066.9643809015465,1.48514283887579e-07,2585.8346676422166,71.88627098799628
CDL06S,26/11/2020,Candelaria,Estuarine,CDL06,Surface,Rainy,3.71,17193.7,0.525,105.7,7.9,9.57,16398.7,3.54,27.538,18.74056,-91.40433,2302,2409,107,245.9569167190867,-8.903868506727747,8.025314441878919,1.8993078969145458,714.7251128480782,1.620853921002135e-07,2812.0952010609103,109.4735573227693
PLZ07S,25/11/2020,Palizada,Coast,PLZ07,Surface,Rainy,3.77,16411.3,0.531,100.5,7.57,9.15,15720.7,6.28,27.3,18.58849,-91.82999,2292,2366,74,235.73978320042647,2.963426229347135,7.931319437158277,1.4946394918499644,889.0980962646397,1.546724372757514e-07,2688.6803646507133,85.98252737381712
PLZ07F,25/11/2020,Palizada,Coast,PLZ07,Bottom,Rainy,4.01,16715.5,2.223,96.9,7.32,9.38,16078.5,6.13,27.074,18.58851,-91.83054,2291,2361,70,227.90223383034154,11.329605309539204,7.910551188066127,1.4465848234143113,919.5907101756121,1.5872896945262512e-07,2756.2646798277265,83.30655612534021
CDL09F,9/2/2021,Candelaria,Coast,CDL09,Bottom,Dry,3.13,57516.2,4.932,103.7,6.94,38.78,58105.0,5.21,24.47,18.82162,-91.53921,2289,2532,243,211.34898916890216,-7.98928169041406,7.874585290028605,2.7932240085968436,675.8952012313724,7.390348133292987e-07,11395.303228541496,181.15268566174834
CDL08F,26/11/2020,Candelaria,Coast,CDL08,Bottom,Rainy,16.47,59438.3,4.294,79.3,5.1,38.07,57249.5,27.02,27.002,18.78729,-91.51476,2258,2412,154,155.5148548626272,40.539682897730415,7.715659190542539,1.9303039543275944,1080.3160824605802,7.212029903872914e-07,11186.673386038543,124.44637795136913
CDL08S,26/11/2020,Candelaria,Coast,CDL08,Surface,Rainy,4.23,53283.8,0.525,85.1,5.6,33.51,51121.4,4.74,27.215,18.78749,-91.51488,2239,2429,190,171.33436794360128,30.35852958841923,7.845721382376769,2.3734814911296835,807.1201066136398,6.148221637007721e-07,9846.74087644212,148.19817482669032
CDL04F,26/11/2020,Candelaria,Estuarine,CDL04,Bottom,Rainy,7.44,37445.1,2.808,9.6,0.67,22.6,35908.0,203.05,27.241,18.68232,-91.34964,2233,2359,126,20.66127538107509,196.88024248605194,7.835929378728553,1.9046625369874588,885.4452841358275,3.975230567089612e-07,6640.893578262965,114.01286058559965
CDL09S,26/11/2020,Candelaria,Coast,CDL09,Surface,Rainy,3.55,55021.5,0.648,92.4,6.06,34.78,52847.5,3.46,27.154,18.82127,-91.5383,2186,2418,232,185.23520329857004,14.87749347932862,7.916417394303784,2.7513127041828906,657.4426161943769,6.431725818906222e-07,10219.923834158668,173.14893185634543
CDL09F,26/11/2020,Candelaria,Coast,CDL09,Bottom,Rainy,4.63,59988.6,8.558,89.1,5.73,38.56,57893.7,7.34,26.895,18.82178,-91.53869,2152,2412,260,174.6580158332228,21.065132966273666,7.922825395291745,2.9009495061265675,618.6765216663239,7.334682185587969e-07,11330.657361850439,187.78736294256683
